epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.7669,1.4368,3.09019,1.10316,0.01636,0.27263,0.09906,0.06433,0.51698,114.031,0.45209,0.000325,0.000325,0.000325
2,178.338,1.23444,2.00075,1.06199,0.01128,0.29249,0.05858,0.04152,0.54513,107.113,0.49526,0.000655941,0.000655941,0.000655941
3,265.155,1.15736,1.62375,1.01024,0.79505,0.06402,0.10536,0.07298,0.54107,109.38,0.49948,0.0009802,0.0009802,0.0009802
4,352.157,1.17083,1.53934,1.03824,0.01478,0.19733,0.01873,0.00741,0.70043,226.928,0.62273,0.00121287,0.00121287,0.00121287
5,438.097,1.11383,1.46997,1.01206,0.58101,0.17234,0.19341,0.13567,0.56836,85.2759,0.52636,0.0012005,0.0012005,0.0012005
6,524.48,1.15398,1.40281,1.02409,0.306,0.45683,0.32717,0.15623,0.57379,121.392,0.57181,0.00118812,0.00118812,0.00118812
7,610.846,1.10796,1.27765,1.01778,0.44436,0.28649,0.37063,0.18719,0.52244,100.821,0.52554,0.00117575,0.00117575,0.00117575
8,697.943,1.10105,1.19287,1.01476,0.47011,0.51404,0.55088,0.26665,0.53497,68.1892,0.51513,0.00116337,0.00116337,0.00116337
9,784.387,1.08006,1.22565,1.00622,0.49294,0.71876,0.55564,0.27276,0.53297,65.732,0.50906,0.001151,0.001151,0.001151
10,870.915,1.06429,1.09124,0.99252,0.66261,0.45991,0.59705,0.30654,0.53596,51.5374,0.53799,0.00113863,0.00113863,0.00113863
11,958.458,1.05774,1.02718,0.99542,0.50632,0.69083,0.61791,0.32292,0.49385,64.2433,0.51718,0.00112625,0.00112625,0.00112625
12,1045.7,1.06091,1.00628,1.01799,0.54358,0.68648,0.58896,0.32201,0.57054,38.1703,0.58393,0.00111388,0.00111388,0.00111388
13,1133.09,1.0396,0.94178,0.98603,0.52272,0.68089,0.53301,0.33373,0.49555,48.6807,0.51787,0.0011015,0.0011015,0.0011015
14,1219.29,1.06978,0.99743,1.00518,0.59282,0.66936,0.63358,0.34535,0.49394,37.1624,0.51587,0.00108913,0.00108913,0.00108913
15,1305.54,1.04476,0.93086,0.99141,0.68567,0.69677,0.68277,0.35177,0.47492,73.759,0.50731,0.00107675,0.00107675,0.00107675
16,1391.33,1.04103,0.88459,0.99712,0.70463,0.64209,0.64461,0.34433,0.49625,38.2397,0.51809,0.00106437,0.00106437,0.00106437
17,1477.37,1.01367,0.83651,0.99342,0.63689,0.74521,0.68039,0.34773,0.47742,38.0442,0.49865,0.001052,0.001052,0.001052
18,1563.59,1.06238,0.81774,0.99194,0.61318,0.6976,0.67488,0.3249,0.47464,107.046,0.49875,0.00103962,0.00103962,0.00103962
19,1650.44,1.03058,0.8171,0.99683,0.54296,0.71693,0.66184,0.32379,0.49535,41.172,0.51602,0.00102725,0.00102725,0.00102725
20,1736.35,0.98901,0.79359,0.96968,0.68648,0.65605,0.60651,0.32067,0.47221,23.7844,0.50623,0.00101488,0.00101488,0.00101488
21,1822.08,1.03203,0.76913,0.99368,0.59259,0.69269,0.58908,0.33013,0.47779,20.8217,0.50258,0.0010025,0.0010025,0.0010025
